"","correct_name","valid.name.too.but.also.a.synonym.for.correct.name"
"1","Alectis ciliaris","Alectis indica"
"2","Acropoma japonicum","Synagrops japonicus"
"3","Alburnus alburnus","Alburnus scoranza"
"4","Alestes dentex","Salmo dentex"
"5","Allocareproctus jordani","Careproctus gilberti"
"6","Ammocryptocharax lateralis","Characidium laterale"
"7","Aphyosemion flavocyaneum","Aphyosemion cyanoflavum"
"8","Aspidontus taeniatus","Aspidontus tractus"
"9","Assiculus punctatus","Pseudochromis punctatus"
"10","Astyanax mexicanus","Astyanax argentatus"
"11","Awaous bustamantei","Sicydium bustamantei"
"12","Awaous commersoni","Gobius niger"
"13","Bathyraja brachyurops","Raja brachyura"
"14","Bathyraja trachura","Bathyraja microtrachys"
"15","Buccochromis lepturus","Haplochromis gigas"
"16","Caffrogobius gilchristi","Acentrogobius multifasciatus"
"17","Caulolatilus princeps","Caulolatilus affinis"
"18","Cephaloscyllium umbratile","Cephaloscyllium formosanum"
"19","Chaetodon lunula","Chaetodon lunulatus"
"20","Chiloscyllium punctatum","Chiloscyllium indicum"
"21","Choeroichthys sculptus","Microphis ocellatus"
"22","Cirrhinus mrigala","Cirrhinus macrops"
"23","Cobitis strumicae","Cobitis rhodopensis"
"24","Copadichromis cyaneus","Haplochromis cyaneus"
"25","Coris aygula","Coris variegata"
"26","Cryptocentrus cryptocentrus","Cryptocentrus fasciatus"
"27","Diagramma pictum","Plectorhinchus pictus"
"28","Dimidiochromis kiwinge","Haplochromis fuelleborni"
"29","Enteromius stigmatopygus","Labeobarbus werneri"
"30","Epigonus robustus","Epigonus macrops"
"31","Eptatretus luzonicus","Eptatretus fernholmi"
"32","Evermannichthys metzelaari","Evermannichthys spongicola"
"33","Filimanus sealei","Polydactylus opercularis"
"34","Garra dulongensis","Placocheilus dulongensis"
"35","Garra dulongensis","Placocheilus dulongensis"
"36","Gerres methueni","Gerres longirostris"
"37","Gracila albomarginata","Epinephelus albomarginatus"
"38","Halichoeres chloropterus","Halichoeres bleekeri"
"39","Harengula jaguana","Harengula humeralis"
"40","Hemibagrus guttatus","Batasio elongatus"
"41","Hemibagrus guttatus","Batasio elongatus"
"42","Hypomasticus steindachneri","Leporinus affinis"
"43","Imparfinis borodini","Imparfinis longicauda"
"44","Johnius amblycephalus","Johnius dussumieri"
"45","Jaydia smithi","Jaydia hungi"
"46","Jaydia smithi","Jaydia hungi"
"47","Kuhlia rupestris","Kuhlia sauvagii"
"48","Lamprologus kungweensis","Lamprologus ocellatus"
"49","Lepidocephalichthys guntea","Cobitis guttata"
"50","Lepidotrigla abyssalis","Lepidotrigla japonica"
"51","Leptophilypnus panamensis","Eleotris macrolepis"
"52","Limia dominicensis","Poecilia dominicensis"
"53","Limia dominicensis","Poecilia dominicensis"
"54","Liparis montagui","Liparis maculatus"
"55","Liparis zonatus","Liparis maculatus"
"56","Luciobrama macrocephalus","Synodus macrocephalus"
"57","Lutjanus notatus","Lutjanus octolineatus"
"58","Lycodes sigmatoides","Lycodes schmidti"
"59","Makunaima multidens","Astyanax multidens"
"60","Mobula mobular","Mobula japanica"
"61","Mycteroperca acutirostris","Epinephelus undulosus"
"62","Narcine timlei","Narcine maculata"
"63","Nematolebias whitei","Cynolebias elegans"
"64","Notopogon lilliei","Centriscus cristatus"
"65","Ophthalmolycus amberensis","Lycodes concolor"
"66","Parapercis clathrata","Parapercis tetracantha"
"67","Parupeneus indicus","Upeneus indicus"
"68","Peckoltia multispinis","Ancistrus multispinis"
"69","Photostomias tantillux","Photostomias guernei"
"70","Pleuronichthys cornutus","Pleuronichthys lighti"
"71","Psalidodon fasciatus","Chalceus fasciatus"
"72","Pseudocrenilabrus philander","Chromis ovalis"
"73","Pseudotolithus elongatus","Johnius elongatus"
"74","Salanx chinensis","Protosalanx chinensis"
"75","Salvelinus namaycush","Salmo ferox"
"76","Sargochromis greenwoodi","Haplochromis greenwoodi"
"77","Scalicus orientalis","Peristedion orientale"
"78","Sciades herzbergii","Pimelodus argenteus"
"79","Selene brownii","Selene spixii"
"80","Sicyases brevirostris","Sicyases hildebrandi"
"81","Siganus rivulatus","Scarus rivulatus"
"82","Sparus aurata","Pagrus auratus"
"83","Squalidus gracilis","Capoeta gracilis"
"84","Squalius cephalus","Squalius orientalis"
"85","Sternarchella sima","Sternarchella orinoco"
"86","Symphurus microrhynchus","Symphurus holothuriae"
"87","Synchiropus marmoratus","Neosynchiropus bacescui"
"88","Synchiropus sechellensis","Synchiropus altivelis"
"89","Syngnathus californiensis","Syngnathus leptorhynchus"
"90","Syngnathus typhle","Syngnathus pelagicus"
"91","Tor putitora","Labeobarbus macrolepis"
"92","Trachinotus blochii","Trachinotus falcatus"
