"level_1","level_2","level_3","level_4","level_5","scientific","qualifiers","CAAB_code"
"Biota","Ascidians","Stalked","Colonial",,,,"35000906"
"Biota","Ascidians","Stalked","Solitary",,,,"35000905"
"Biota","Ascidians","Stalked",,,,,"35000904"
"Biota","Ascidians","Unstalked","Colonial",,,,"35000903"
"Biota","Ascidians","Unstalked","Solitary",,,,"35000902"
"Biota","Ascidians","Unstalked",,,,,"35000901"
"Biota","Ascidians",,,,,,"35000000"
"Biota","Bacterial mats","Cyanobacteria",,,,,"70000901"
"Biota","Bacterial mats","Other",,,,,"72000902"
"Biota","Bacterial mats",,,,,,"72000901"
"Biota","Bedforms","2D","Ripples (<10cm height)",,,,"82002003"
"Biota","Bedforms","2D","Waves (>10cm height)",,,,"82002004"
"Biota","Bedforms","2D",,,,,"82002002"
"Biota","Bedforms","3D","Ripples (<10cm height)",,,,"82002007"
"Biota","Bedforms","3D","Waves (>10cm height)",,,,"82002008"
"Biota","Bedforms","3D",,,,,"82002006"
"Biota","Bedforms","Bioturbated",,,,,"82002005"
"Biota","Bedforms","None",,,,,"82002001"
"Biota","Bedforms",,,,,,"82002000"
"Biota","Bioturbation","Crawling traces","Complex trail",,,,"81005003"
"Biota","Bioturbation","Crawling traces","Crater row",,,,"81005006"
"Biota","Bioturbation","Crawling traces","Disturbed trace",,,,"81005007"
"Biota","Bioturbation","Crawling traces","Mounded trail",,,,"81005004"
"Biota","Bioturbation","Crawling traces","Perforated trail",,,,"81005005"
"Biota","Bioturbation","Crawling traces","Thick trail",,,,"81005002"
"Biota","Bioturbation","Crawling traces","Thin trail",,,,"81005001"
"Biota","Bioturbation","Crawling traces",,,,,"81005000"
"Biota","Bioturbation","Dwelling traces","Burrow cluster",,,,"81001004"
"Biota","Bioturbation","Dwelling traces","Crater cone",,,,"81001012"
"Biota","Bioturbation","Dwelling traces","Elongate depression",,,,"81001001"
"Biota","Bioturbation","Dwelling traces","Fractured mound",,,,"81001013"
"Biota","Bioturbation","Dwelling traces","Large mound",,,,"81001002"
"Biota","Bioturbation","Dwelling traces","Oblique burrow",,,,"81001005"
"Biota","Bioturbation","Dwelling traces","Paired burrow",,,,"81001007"
"Biota","Bioturbation","Dwelling traces","Rounded crater ring",,,,"81001010"
"Biota","Bioturbation","Dwelling traces","Single burrow",,,,"81001006"
"Biota","Bioturbation","Dwelling traces","Small mound",,,,"81001003"
"Biota","Bioturbation","Dwelling traces","Spiked crater ring",,,,"81001011"
"Biota","Bioturbation","Dwelling traces","Spotted mound",,,,"81001014"
"Biota","Bioturbation","Dwelling traces","Trapdoor burrow",,,,"81001009"
"Biota","Bioturbation","Dwelling traces","Vertical burrow",,,,"81001008"
"Biota","Bioturbation","Dwelling traces",,,,,"81001000"
"Biota","Bioturbation","Feeding traces","Large rosette",,,,"81004001"
"Biota","Bioturbation","Feeding traces","Petal rosette",,,,"81004003"
"Biota","Bioturbation","Feeding traces","Pincushion rosette",,,,"81004005"
"Biota","Bioturbation","Feeding traces","Rayed mound",,,,"81004004"
"Biota","Bioturbation","Feeding traces","Small rosette",,,,"81004002"
