FAMILY	GENUS	SPECIES	CAAB CODE
Nemichthyidae	Nemichthys	curvirostris	37076001
Chaetodontidae	Chaetodon	madagaskariensis	37365092
Centrophoridae	Centrophorus	moluccensis	37020001
Labridae	Bodianus	rubrisos	37384200
Ophichthidae	Yirrkala	misolensis	37068053
Antennariidae	Histiophryne	maggiewalker	37210030
Blenniidae	Ecsenius	lineatus	37408025
Trichiuridae	Trichiurus	nickolensis	37440014
Muraenidae	Gymnothorax	porphyreus	37060066
Balistidae	Rhinecanthus	lunula	37465072
Syngnathidae	Hippichthys	cyanospilos	37282072
Ophichthidae	Myrophis	microchir	37068040
Pteroidae	Pterois	radiata	37287097
Dasyatidae	Neotrygon	picta	37035029
Chiasmodontidae	Kali	parri	37402008
Triakidae	Mustelus	stevensi	37017012
Ophidiidae	Holcomycteronus	brucei	37228110
Scyliorhinidae	Cephaloscyllium	signourum	37015039
Rhinidae	Rhynchobatus	laevis	37026003
Scorpaenidae	Scorpaenodes	quadrispinosus	37287137
Arhynchobatidae	Bathyraja	ishiharai	37031016
Centrolophidae	Schedophilus	labyrinthicus	37445014
Bregmacerotidae	Bregmaceros	mcclellandi	37225002
Scorpaenidae	Rhinopias	aphanes	37287065
Gobiidae	Fusigobius	inframaculatus	37428340
Trachichthyidae	Optivus	agastos	37255007
Cetomimidae	Cetostoma	regani	37132003
Aploactinidae	Bathyaploactis	ornatissimus	37290008
Macrouridae	Coryphaenoides	striaturus	37232053
Narcinidae	Narcinops	nelsoni	37028008
Diceratiidae	Diceratias	pileatus	37214003
Chaetodontidae	Chaetodon	collare	37365089
Bythitidae	Pseudonus	squamiceps	37228112
Orectolobidae	Orectolobus	floridus	37013021
Gigantactinidae	Gigantactis	meadi	37217006
Leiognathidae	Equulites	elongatus	37341011
Carapidae	Encheliophis	vermiops	37229015
Ophiclinidae	Ophiclinus	gracilis	37414002
Ophiclinidae	Ophiclinops	hutchinsi	37414007
Carapidae	Echiodon	rendahli	37229003
Etmopteridae	Etmopterus	lucifer	37020005
Ephippidae	Platax	batavianus	37362002
Carangidae	Alepes	kleinii	37337036
Congridae	Lumiconger	arafura	37067005
Gobiidae	Istigobius	decoratus	37428173
Haemulidae	Pomadasys	maculatus	37350002
Lutjanidae	Pristipomoides	flavipinnis	37346055
Clupeidae	Dussumieria	elopsoides	37085010
Centrophoridae	Deania	calceus	37020003
Urolophidae	Urolophus	viridis	37038007
Sphyrnidae	Eusphyra	blochii	37019003
Pempherididae	Pempheris	multiradiata	37357001
Labridae	Pseudolabrus	luculentus	37384151
Prototroctidae	Prototroctes	maraena	37103001
Nomeidae	Psenes	hillii	37446016
Serranidae	Caesioperca	lepidoptera	37311002
Sternoptychidae	Polyipnus	aquavitus	37107008
Phosichthyidae	Vinciguerria	poweriae	37106007
Draconettidae	Centrodraco	insolitus	37427025
Anomalopidae	Anomalops	katoptron	37260001
Berycidae	Centroberyx	gerrardi	37258004
Callionymidae	Pseudocalliurichthys	delicatulus	37427037
Pomacanthidae	Chaetodontoplus	meredithi	37365065
Labridae	Bodianus	vulpinus	37384001
Alepocephalidae	Talismania	antillarum	37114009
Myctophidae	Taaningichthys	bathyphilus	37122069
Labridae	Halichoeres	hortulanus	37384112
Synodontidae	Synodus	binotatus	37118021
Ostraciidae	Tetrosomus	gibbosus	37466006
Ophiclinidae	Sticharium	dorsale	37414005
Labridae	Coris	batuensis	37384098
Pataecidae	Pataecus	fronto	37292001
Holocentridae	Myripristis	botche	37261004
Labridae	Bodianus	unimaculatus	37384061
Bythitidae	Cataetyx	niki	37228018
Labridae	Bodianus	izuensis	37384058
Synaphobranchidae	Ilyophis	brunneus	37070002
Scorpaenidae	Parascorpaena	mcadamsi	37287096
Acanthuridae	Ctenochaetus	cyanocheilus	37437023
Blenniidae	Omobranchus	lineolatus	37408062
Blenniidae	Blenniella	bilitonensis	37408088
Triglidae	Lepidotrigla	russelli	37288016
Veliferidae	Metavelifer	multiradiatus	37269001
Muraenidae	Strophidon	sathete	37060060
Istiophoridae	Makaira	nigricans	37444003
Pomacentridae	Amphiprion	rubrocinctus	37372028
Chaetodontidae	Chaetodon	assarius	37365012
Chiasmodontidae	Dysalotus	oligoscolus	37402002
Holocentridae	Myripristis	vittata	37261015
Neosebastidae	Neosebastes	nigropunctatus	37287002
Apogonidae	Apogon	seminigracaudus	37327179
Trachichthyidae	Aulotrachichthys	novaezelandicus	37255011
Pomacentridae	Pomacentrus	nigromanus	37372120
Dasyatidae	Taeniurops	meyeni	37035017
Sciaenidae	Otolithes	ruber	37354006
Lophiidae	Lophiodes	mutilus	37208003
Microdesmidae	Nemateleotris	magnifica	37435008
Lethrinidae	Lethrinus	genivittatus	37351002
Carangidae	Turrum	fulvoguttatum	37337037
Apogonidae	Ostorhinchus	hoevenii	37327062
Pempherididae	Pempheris	ypsilychnus	37357007
Sternoptychidae	Argyripnus	ephippiatus	37107012
Labridae	Chlorurus	microrhinos	37386020
Gobiesocidae	Parvicrepis	parvipinnis	37206022
Carangidae	Flavocaranx	bajad	37337079
Scorpaenidae	Taenianotus	triacanthus	37287090
Congridae	Gnathophis	microps	37067030
Scorpaenidae	Scorpaenodes	minor	37287105
Macrouridae	Mesovagus	berryi	37232065
Trichiuridae	Lepidopus	caudatus	37440002
Eleotridae	Calumia	godeffroyi	37429015
Gobiidae	Silhouettea	evanida	37428250
Dentatherinidae	Dentatherina	merceri	37246032
Lophotidae	Lophotus	guntheri	37270001
Serranidae	Acanthistius	serratus	37311035
Tetraodontidae	Torquigener	squamicauda	37467061
Serranidae	Epinephelus	daemelii	37311077
Monacanthidae	Pervagor	janthinosoma	37465068
Carangidae	Seriola	lalandi	37337006
Sciaenidae	Protonibea	diacanthus	37354003
Lutjanidae	Pristipomoides	filamentosus	37346032
Ostraciidae	Tetrosomus	reipublicae	37466008
Aracanidae	Capropygia	unistriata	37466011
Bothidae	Arnoglossus	tenuis	37460044
Monacanthidae	Scobinichthys	granulatus	37465007
Centrolophidae	Tubbia	tasmanica	37445002
Serranidae	Pseudanthias	cooperi	37311113
Lethrinidae	Lethrinus	ornatus	37351015
Blenniidae	Parenchelyurus	hepburni	37408069
Soleidae	Phyllichthys	punctatus	37462005
Gobiidae	Callogobius	okinawae	37428090
Ophichthidae	Echelus	uropterus	37068041
Monacanthidae	Amanses	scopas	37465046
Apogonidae	Siphamia	guttulata	37327116
Apogonidae	Siphamia	roseigaster	37327017
