"spcode","kingdom","phylum","class","family","genus","species","common_name","order"
37068917,"Animalia","Chordata","Actinopterygii","Ophichthidae","Phyllophichthus","spp",NA,"Anguilliformes"
37110901,"Animalia","Chordata","Actinopterygii","Malacosteidae","Aristostomias","spp",NA,"Stomiiformes"
37400901,"Animalia","Chordata","Actinopterygii","Uranoscopidae","Ichthyscopus","spp",NA,"Perciformes"
37429902,"Animalia","Chordata","Actinopterygii","Eleotridae","Bostrychus","spp",NA,"Perciformes"
37465928,"Animalia","Chordata","Actinopterygii","Monacanthidae","Pseudalutarius","spp",NA,"Tetraodontiformes"
37017902,"Animalia","Chordata","Elasmobranchii","Triakidae","Furgaleus","spp",NA,"Carcharhiniformes"
37229906,"Animalia","Chordata","Actinopterygii","Carapidae","Pyramodon","spp",NA,"Ophidiiformes"
37461909,"Animalia","Chordata","Actinopterygii","Pleuronectidae","Poecilopsetta","spp",NA,"Pleuronectiformes"
37085911,"Animalia","Chordata","Actinopterygii","Clupeidae","Escualosa","spp",NA,"Clupeiformes"
37261902,"Animalia","Chordata","Actinopterygii","Holocentridae","Neoniphon","spp",NA,"Beryciformes"
37435908,"Animalia","Chordata","Actinopterygii","Microdesmidae","Pterocerdale","spp",NA,"Perciformes"
37016901,"Animalia","Chordata","Elasmobranchii","Pseudotriakidae","Gollum","spp",NA,"Carcharhiniformes"
37466903,"Animalia","Chordata","Actinopterygii","Ostraciidae","Aracana","spp",NA,"Tetraodontiformes"
37233906,"Animalia","Chordata","Actinopterygii","Exocoetidae","Parexocoetus","spp",NA,"Beloniformes"
37428935,"Animalia","Chordata","Actinopterygii","Gobiidae","Feia","spp",NA,"Perciformes"
37429904,"Animalia","Chordata","Actinopterygii","Eleotridae","Butis","spp",NA,"Perciformes"
37345902,"Animalia","Chordata","Actinopterygii","Emmelichthyidae","Erythrocles","spp",NA,"Perciformes"
37229907,"Animalia","Chordata","Actinopterygii","Carapidae","Snyderidia","spp",NA,"Ophidiiformes"
37205903,"Animalia","Chordata","Actinopterygii","Batrachoididae","Porichthys","spp",NA,"Batrachoidiformes"
37126907,"Animalia","Chordata","Actinopterygii","Paralepididae","Notolepis","spp",NA,"Aulopiformes"
37120903,"Animalia","Chordata","Actinopterygii","Chlorophthalmidae","Chlorophthalmus","spp",NA,"Aulopiformes"
37282933,"Animalia","Chordata","Actinopterygii","Syngnathidae","Pugnaso","spp",NA,"Syngnathiformes"
37208902,"Animalia","Chordata","Actinopterygii","Lophiidae","Lophiomus","spp",NA,"Lophiiformes"
37228925,"Animalia","Chordata","Actinopterygii","Bythitidae","Ematops","spp","[a gelatinous cuskeel]","Ophidiiformes"
37070000,"Animalia","Chordata","Actinopterygii","Synaphobranchidae","Unknown","spp","basketwork eels","Anguilliformes"
37133000,"Animalia","Chordata","Actinopterygii","Rondeletiidae","Unknown","spp","redmouth whalefishes","Cetomimiformes"
37282931,"Animalia","Chordata","Actinopterygii","Syngnathidae","Phycodurus","spp",NA,"Syngnathiformes"
37122924,"Animalia","Chordata","Actinopterygii","Myctophidae","Scopelopsis","spp",NA,"Myctophiformes"
37337921,"Animalia","Chordata","Actinopterygii","Carangidae","Naucrates","spp",NA,"Perciformes"
